Flight Number,Origin,Destination,Departure Datetime,Arrival Datetime,Elapsed Minutes,Cheapest Price,Search URL,Error Status,Equipment
B6 1371,LGA,FLL,09/16/2025 1:30pm,09/16/2025 4:42pm,192,$74,https://www.jetblue.com/booking/cb-flights?from=LGA&to=FLL&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 471,LGA,FLL,09/16/2025 3:50pm,09/16/2025 7:07pm,197,$74,https://www.jetblue.com/booking/cb-flights?from=LGA&to=FLL&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 599,LGA,MCO,09/16/2025 6:30am,09/16/2025 9:20am,170,$79,https://www.jetblue.com/booking/cb-flights?from=LGA&to=MCO&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 499,LGA,MCO,09/16/2025 10:59am,09/16/2025 1:58pm,179,$79,https://www.jetblue.com/booking/cb-flights?from=LGA&to=MCO&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 399,LGA,MCO,09/16/2025 2:57pm,09/16/2025 6:05pm,188,$79,https://www.jetblue.com/booking/cb-flights?from=LGA&to=MCO&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1471,LGA,MCO,09/16/2025 7:00am,09/16/2025 3:25pm,505,$201,https://www.jetblue.com/booking/cb-flights?from=LGA&to=MCO&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1371,LGA,MCO,09/16/2025 1:30pm,09/16/2025 11:30pm,600,$201,https://www.jetblue.com/booking/cb-flights?from=LGA&to=MCO&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1461,LGA,PBI,09/16/2025 7:59am,09/16/2025 10:55am,176,$79,https://www.jetblue.com/booking/cb-flights?from=LGA&to=PBI&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1247,LGA,TPA,09/16/2025 9:50am,09/16/2025 12:54pm,184,$64,https://www.jetblue.com/booking/cb-flights?from=LGA&to=TPA&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2260,MAD,BOS,09/16/2025 1:30pm,09/16/2025 3:38pm,488,$461,https://www.jetblue.com/booking/cb-flights?from=MAD&to=BOS&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
