Origin,Destination,Departure Date,Flight Number,Departure Time,Arrival Time,Duration,Price,Stops,Route Type
B6 2283,BOS,RDU,09/03/2025 3:59pm,09/03/2025 6:09pm,130,$144,https://www.jetblue.com/booking/flights?from=BOS&to=RDU&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2783,BOS,RDU,09/03/2025 5:40pm,09/03/2025 7:51pm,131,$144,https://www.jetblue.com/booking/flights?from=BOS&to=RDU&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2895,BOS,PUJ,09/03/2025 7:00am,09/03/2025 11:05am,245,$191,https://www.jetblue.com/booking/flights?from=BOS&to=PUJ&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 206,BOS,PQI,09/03/2025 8:55pm,09/03/2025 10:20pm,85,$59,https://www.jetblue.com/booking/flights?from=BOS&to=PQI&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 397,BOS,SEA,09/03/2025 7:00am,09/03/2025 10:19am,379,$174,https://www.jetblue.com/booking/flights?from=BOS&to=SEA&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1585,BOS,PIT,09/03/2025 8:15am,09/03/2025 10:00am,105,$124,https://www.jetblue.com/booking/flights?from=BOS&to=PIT&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1785,BOS,PIT,09/03/2025 1:42pm,09/03/2025 3:30pm,108,$124,https://www.jetblue.com/booking/flights?from=BOS&to=PIT&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2185,BOS,PIT,09/03/2025 5:50pm,09/03/2025 7:42pm,112,$124,https://www.jetblue.com/booking/flights?from=BOS&to=PIT&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 21,BOS,PBI,09/03/2025 7:06am,09/03/2025 10:29am,203,$184,https://www.jetblue.com/booking/flights?from=BOS&to=PBI&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2321,BOS,PBI,09/03/2025 12:00pm,09/03/2025 3:23pm,203,$225,https://www.jetblue.com/booking/flights?from=BOS&to=PBI&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1813,BOS,ORF,09/03/2025 8:05am,09/03/2025 9:40am,95,$129,https://www.jetblue.com/booking/flights?from=BOS&to=ORF&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 311,BOS,ORD,09/03/2025 7:00am,09/03/2025 8:56am,176,$59,https://www.jetblue.com/booking/flights?from=BOS&to=ORD&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 301,BOS,MSY,09/03/2025 9:00am,09/03/2025 11:41am,221,$189,https://www.jetblue.com/booking/flights?from=BOS&to=MSY&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 631,BOS,MCO,09/03/2025 8:00am,09/03/2025 11:18am,198,$179,https://www.jetblue.com/booking/flights?from=BOS&to=MCO&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2951,BOS,MCO,09/03/2025 9:00am,09/03/2025 12:15pm,195,$179,https://www.jetblue.com/booking/flights?from=BOS&to=MCO&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2851,BOS,MCO,09/03/2025 10:00am,09/03/2025 1:15pm,195,$179,https://www.jetblue.com/booking/flights?from=BOS&to=MCO&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
