Origin,Destination,Departure Date,Flight Number,Departure Time,Arrival Time,Duration,Price,Stops,Route Type,Distance (MI)
"JFK","ABQ","09/02/2025 6:45pm","B6 65","09/02/2025 9:34pm","289","$189","https://www.jetblue.com/booking/cb-flights?from=JFK&to=ABQ&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","1822"
"JAX","JFK","09/02/2025 6:20am","B6 1678","09/02/2025 8:40am","140","$164","https://www.jetblue.com/booking/cb-flights?from=JAX&to=JFK&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","829"
"JAX","JFK","09/02/2025 2:24pm","B6 677","09/02/2025 4:44pm","140","$199","https://www.jetblue.com/booking/cb-flights?from=JAX&to=JFK&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","829"
"JAX","BOS","09/02/2025 9:55am","B6 1310","09/02/2025 12:35pm","160","$289","https://www.jetblue.com/booking/cb-flights?from=JAX&to=BOS&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","1011"
"JAX","BOS","09/02/2025 8:49pm","B6 810","09/02/2025 11:30pm","161","$149","https://www.jetblue.com/booking/cb-flights?from=JAX&to=BOS&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","1011"
"ISP","PBI","09/02/2025 4:15pm","B6 545","09/02/2025 7:05pm","170","$205","https://www.jetblue.com/booking/cb-flights?from=ISP&to=PBI&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","1054"
"ISP","MCO","09/02/2025 11:20am","B6 547","09/02/2025 2:04pm","164","$165","https://www.jetblue.com/booking/cb-flights?from=ISP&to=MCO&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","972"
"ISP","MCO","09/02/2025 12:35pm","B6 513","09/02/2025 9:45pm","550","$287","https://www.jetblue.com/booking/cb-flights?from=ISP&to=MCO&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","972"
"ISP","FLL","09/02/2025 12:35pm","B6 513","09/02/2025 3:31pm","176","$165","https://www.jetblue.com/booking/cb-flights?from=ISP&to=FLL&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","1094"
"ILM","BOS","09/02/2025 10:48am","B6 1290","09/02/2025 12:45pm","117","$124","https://www.jetblue.com/booking/cb-flights?from=ILM&to=BOS&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","672"
